ip_address,email_address,billing_state,user_agent,billing_postal,phone_number,EVENT_TIMESTAMP,billing_address
112.136.132.151,fake_cgonzales@example.net,NC,"Mozilla/5.0 (iPad; CPU iPad OS 10_3_3 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) CriOS/34.0.827.0 Mobile/13K063 Safari/532.2",34491,(555)333 - 9246,22/02/2020 01:38,12351 Amanda Knolls Fake St.
192.169.234.143,fake_dustin64@example.net,CO,"Mozilla/5.0 (Windows; U; Windows NT 6.1) AppleWebKit/532.44.3 (KHTML, like Gecko) Version/4.0.3 Safari/532.44.3",34555,(555)779 - 5604,08/04/2020 23:29,691 Deborah Estate Fake St.
185.112.224.79,fake_samuel59@example.net,CO,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_0 rv:5.0; mr-IN) AppleWebKit/532.25.5 (KHTML, like Gecko) Version/4.0 Safari/532.25.5",33611,(555)948 - 9198,28/06/2020 10:26,28583 Joseph Tunnel Fake St.
68.73.183.186,fake_tinalopez@example.net,TN,"Mozilla/5.0 (Linux; Android 7.1.1) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/59.0.807.0 Safari/535.1",33520,(555)477 - 7885,28/04/2020 10:23,019 Linda Via Fake St.
117.65.246.206,fake_alyssa53@example.com,NM,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1),33889,(555)873 - 2599,07/06/2020 16:42,1023 Cook Loaf Fake St.
94.136.78.30,fake_mweiss@example.org,TN,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2016-07-11 01:27:14 Firefox/11.0,34362,(555)798 - 9983,04/07/2020 01:19,520 Matthew Village Fake St.
33.106.173.169,fake_lewishannah@example.com,MI,Mozilla/5.0 (Windows NT 5.2; ru-RU; rv:1.9.0.20) Gecko/2012-05-20 13:38:09 Firefox/14.0,34421,(555)178 - 9229,13/10/2019 17:14,30898 Duncan Extensions Fake St.
204.239.99.54,fake_james61@example.net,PA,Mozilla/5.0 (Windows 98; Win 9x 4.90; ber-DZ; rv:1.9.2.20) Gecko/2011-11-28 08:08:08 Firefox/3.8,33605,(555)349 - 2778,21/04/2020 23:28,8307 Grimes Island Fake St.
49.41.75.93,fake_shane51@example.com,TX,"Mozilla/5.0 (Windows CE) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/34.0.855.0 Safari/532.2",33918,(555)759 - 7902,23/03/2020 01:34,284 Cohen Dale Fake St.
42.222.141.105,fake_geraldthornton@example.com,NC,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/63.0.813.0 Safari/532.2",34603,(555)912 - 6728,08/08/2019 10:48,0793 Michael Summit Fake St.
2.143.181.54,fake_grantamanda@example.com,FL,Opera/8.35.(Windows NT 6.2; ca-AD) Presto/2.9.182 Version/12.00,34774,(555)538 - 6119,01/06/2020 14:54,1303 Harris Highway Fake St.
201.163.178.118,fake_johnhutchinson@example.com,OR,"Mozilla/5.0 (Windows; U; Windows NT 5.01) AppleWebKit/531.18.3 (KHTML, like Gecko) Version/4.0.5 Safari/531.18.3",33101,(555)571 - 7155,15/09/2019 02:06,232 Beck Harbor Fake St.
4.172.149.13,fake_paul34@example.net,TN,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/536.2 (KHTML, like Gecko) FxiOS/10.3i3440.0 Mobile/48N491 Safari/536.2",34276,(555)119 - 1718,26/07/2019 09:16,50073 Harris Cape Fake St.
109.220.111.5,fake_smithwilliam@example.org,TX,Opera/9.29.(Windows NT 6.2; hr-HR) Presto/2.9.175 Version/10.00,34581,(555)490 - 8263,18/07/2019 09:03,24175 Kristen Freeway Fake St.
160.162.218.90,fake_bsmith@example.org,NC,"Mozilla/5.0 (iPad; CPU iPad OS 12_4 like Mac OS X) AppleWebKit/532.0 (KHTML, like Gecko) CriOS/25.0.854.0 Mobile/35I210 Safari/532.0",33641,(555)248 - 2877,01/01/2020 22:44,1091 Bill Mission Fake St.
223.40.13.25,fake_charles70@example.org,PA,"Mozilla/5.0 (Windows; U; Windows NT 6.2) AppleWebKit/532.9.6 (KHTML, like Gecko) Version/4.0 Safari/532.9.6",34545,(555)961 - 5477,27/12/2019 20:42,7946 Smith Island Fake St.
138.146.150.169,fake_gibsonmichael@example.net,MO,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_0 rv:3.0; cmn-TW) AppleWebKit/534.31.3 (KHTML, like Gecko) Version/5.1 Safari/534.31.3",33064,(555)210 - 1906,27/03/2020 19:36,568 Conner Trafficway Fake St.
56.120.7.140,fake_chelsea12@example.com,MI,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_10_2 rv:2.0; tt-RU) AppleWebKit/531.2.4 (KHTML, like Gecko) Version/4.0 Safari/531.2.4",33470,(555)302 - 7725,18/11/2019 01:58,345 Beth Fork Fake St.
153.184.147.206,fake_jasmine03@example.com,LA,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/2020-01-06 14:54:01 Firefox/3.6.19,33311,(555)405 - 7473,06/06/2020 06:03,23642 Robbins Mount Fake St.
39.130.159.117,fake_kristinross@example.net,MI,Opera/8.80.(X11; Linux x86_64; kok-IN) Presto/2.9.175 Version/10.00,34658,(555)401 - 5465,17/10/2019 13:08,35849 John Hills Fake St.
40.215.172.155,fake_baileylisa@example.org,NC,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/531.28.3 (KHTML, like Gecko) Version/5.0 Safari/531.28.3",33699,(555)492 - 9407,19/09/2019 04:02,8132 Anderson Mills Fake St.
81.204.230.104,fake_jefferyfarrell@example.net,MD,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/5.0),33895,(555)367 - 5835,08/12/2019 21:58,2700 Stephen Rapids Fake St.
59.157.144.1,fake_timothysmith@example.com,AZ,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; sid-ET) AppleWebKit/534.17.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.17.7",32931,(555)596 - 5579,02/06/2020 00:07,65898 Amy Estate Fake St.
